Date,Sound,Flame,Humidity,Temperature
2021-07-29 15:04:00,0,0,31,31
2021-07-29 15:05:00,0,0,31,31
2021-07-29 15:06:00,0,0,31,31
2021-07-29 15:07:00,0,0,31,31
2021-07-29 15:14:00,1,0,31,31
2021-07-29 15:15:00,0,1,31,31
2021-07-29 15:16:00,0,1,31,31
2021-07-29 15:17:00,0,0,31,31
2021-07-29 15:27:00,0,0,31,31
2021-07-29 15:28:00,1,0,31,31
2021-07-29 15:29:00,1,0,31,31
2021-07-29 15:30:00,0,0,31,31
2021-07-29 15:33:00,0,0,31,31
2021-07-29 15:34:00,0,1,31,31
2021-07-29 15:35:00,1,0,31,31
2021-07-29 15:37:00,0,1,31,31
2021-07-29 15:38:00,0,1,31,31
2021-07-29 15:45:00,0,0,31,31
2021-07-29 16:10:00,0,0,31,31
2021-07-29 16:17:00,0,0,31,31
2021-07-29 16:18:00,0,0,31,31
2021-07-29 16:19:00,0,0,31,31
2021-07-29 16:21:00,0,0,31,31
2021-07-29 16:25:00,0,0,31,31
2021-12-26 20:54:00,0,0,38,15
2021-12-26 20:55:00,0,0,39,15
2021-12-26 21:36:00,0,0,39,15
2021-12-26 21:41:00,0,0,39,15
2021-12-26 21:42:00,0,0,39,15
2021-12-26 21:49:00,0,0,39,15
2021-12-26 21:57:00,0,0,39,15
2021-12-26 22:03:00,0,0,39,15
2021-12-26 22:04:00,0,0,39,15
